?,판매일자,매장구분,매장코드,매장명,영수증번호,기획구분,판매유형,상품코드,상품명,칼라,칼라명,사이즈,판매구분
183,2024-01-25,직영점,A0025,부산연지점(직),3,정상,일반판매,AII3OP012,Z-뱌오점프수트,GR,회색,F,판매
184,2024-01-25,직영점,A0025,부산연지점(직),3,정상,일반판매,AIK3PT022,Q-마인언발,CG,차콜그레이,M,판매
185,2024-01-25,직영점,A0025,부산연지점(직),4,정상,일반판매,AKL7KT017,P3-셀폴라니트,GR,회색,F,판매
186,2024-01-25,직영점,A0025,부산연지점(직),5,정상,일반판매,AKL7KT017,P3-셀폴라니트,BK,블랙,F,판매
187,2024-01-25,직영점,A0025,부산연지점(직),6,정상,일반판매,BKL7BG015,J-플릭숄더백,IV,아이보리,F,판매
188,2024-01-25,직영점,A0025,부산연지점(직),6,정상,일반판매,AJJ7ST001,트임니트세트,BE,베이지,F,판매
189,2024-01-26,직영점,A0025,부산연지점(직),1,정상,일반판매,BJL4MF009,양모바게트머플러,CH,챠콜,F,판매
190,2024-01-26,직영점,A0025,부산연지점(직),2,정상,일반판매,AKL7KT017,P3-셀폴라니트,BK,블랙,F,판매
191,2024-01-26,직영점,A0025,부산연지점(직),2,정상,일반판매,AKL7KT017,P3-셀폴라니트,PK,핑크,F,판매
192,2024-01-26,직영점,A0025,부산연지점(직),3,정상,일반판매,AKA3PT002,C-밍크골지트임팬츠,IV,아이보리,F,판매
193,2024-01-26,직영점,A0025,부산연지점(직),4,정상,일반판매,AIJ3TS018,S-소울MTM,IV,아이보리,F,판매
194,2024-01-26,직영점,A0025,부산연지점(직),4,정상,일반판매,AKC7OP004,묶음롱원피스,GE,그린,F,판매
195,2024-01-26,직영점,A0025,부산연지점(직),4,정상,일반판매,AKL7KT005,J-젤리반폴니트,BE,베이지,F,판매
196,2024-01-26,직영점,A0025,부산연지점(직),5,정상,일반판매,AJJ7ST001,트임니트세트,BR,브라운,F,판매
197,2024-01-26,직영점,A0025,부산연지점(직),5,정상,일반판매,AJJ7ST001,트임니트세트,BE,베이지,F,판매
198,2024-01-26,직영점,A0025,부산연지점(직),6,정상,일반판매,KLA7AC001,K스카이크로스백(24),BK,블랙,F,판매
199,2024-01-26,직영점,A0025,부산연지점(직),7,정상,일반판매,AKL7KT005,J-젤리반폴니트,BE,베이지,F,반품
200,2024-01-26,직영점,A0025,부산연지점(직),8,정상,일반판매,AHJ3DP001,S-청나팔기획,DL,진청,S,판매
201,2024-01-26,직영점,A0025,부산연지점(직),9,정상,일반판매,AKJ7JP012,J-리버시블덕다운점퍼,SO,소라,F,판매
202,2024-01-26,직영점,A0025,부산연지점(직),10,정상,일반판매,AEH2BL401,채러티 워싱 웨스턴셔츠,DK,진카키,L,판매
203,2024-01-26,직영점,A0025,부산연지점(직),10,정상,일반판매,AKK3WS001,S-오픈체크셔츠,PK,핑크,F,판매
204,2024-01-26,직영점,A0025,부산연지점(직),10,정상,일반판매,AKK7JK005,J-이프니트자켓,WH,화이트,F,판매
205,2024-01-26,직영점,A0025,부산연지점(직),10,정상,일반판매,AEK2PT707,배색 부츠컷,DB,다크베이지,M,판매
