?,판매일자,매장구분,매장코드,매장명,영수증번호,기획구분,판매유형,상품코드,상품명,칼라,칼라명,사이즈,판매구분
119,2024-02-02,직영점,A0070,부산만덕점(직),4,정상,일반판매,BKC4SB012,키높이진주슈즈(9556),BK,블랙,35,판매
120,2024-02-05,직영점,A0070,부산만덕점(직),1,정상,일반판매,AKL7JP017,P3-세모끈덕다운,BR,브라운,F,판매
121,2024-02-05,직영점,A0070,부산만덕점(직),1,정상,일반판매,AJJ3JK001,C-밤비레더JK,BR,브라운,F,판매
122,2024-02-06,직영점,A0070,부산만덕점(직),1,정상,일반판매,AKL3DP003,S-노이세미기모통데님,DL,진청,M,판매
123,2024-02-06,직영점,A0070,부산만덕점(직),1,정상,일반판매,AKJ7DP002,J-로튼데님배기,DL,진청,M,판매
124,2024-02-06,직영점,A0070,부산만덕점(직),2,정상,일반판매,ALB7JP001,3-SC2DHN-지퍼후드레더점퍼,IV,아이보리,F,판매
125,2024-02-06,직영점,A0070,부산만덕점(직),3,정상,일반판매,AEK1PT601,플리츠 캐주얼 바지,BK,블랙,L,판매
126,2024-02-07,직영점,A0070,부산만덕점(직),1,정상,20% 할인(직원할인),ALB3CT003,C-SSPSAL-안나트렌치,BE,베이지,F,판매
127,2024-02-07,직영점,A0070,부산만덕점(직),1,정상,20% 할인(직원할인),ALB3KT002,C-SCWRHN-캐시라운드니트,GE,그린,F,판매
128,2024-02-07,직영점,A0070,부산만덕점(직),2,정상,일반판매,AHK3CT008,S-폼폼CT,IV,아이보리,F,판매
129,2024-02-07,직영점,A0070,부산만덕점(직),3,정상,일반판매,AJB3TS026,S-해피T,BK,블랙,F,판매
130,2024-02-07,직영점,A0070,부산만덕점(직),4,정상,일반판매,AEJ1KN201,슬로베니아 니트케이프,GR,회색,M,판매
131,2024-02-07,직영점,A0070,부산만덕점(직),4,정상,일반판매,ALB3TS012,C-SCCRHN-슬럽라운드긴팔티,WH,화이트,F,판매
132,2024-02-07,직영점,A0070,부산만덕점(직),4,정상,일반판매,ALB3TS007,C-TCCRHN-베이직단가라티,IV,아이보리,F,판매
133,2024-02-07,직영점,A0070,부산만덕점(직),5,정상,일반판매,AEJ1KN201,슬로베니아 니트케이프,BK,블랙,M,판매
134,2024-02-07,직영점,A0070,부산만덕점(직),5,정상,일반판매,AEJ1KN201,슬로베니아 니트케이프,GR,회색,M,판매
135,2024-02-08,직영점,A0070,부산만덕점(직),1,정상,일반판매,BKB7BG031,글로리백팩,BK,블랙,F,판매
136,2024-02-08,직영점,A0070,부산만덕점(직),2,정상,일반판매,AKL3KT004,S-분홍꽃KT,BK,블랙,F,판매
137,2024-02-08,직영점,A0070,부산만덕점(직),3,정상,일반판매,AKK7JP017,J-팝핑덕다운점퍼,GE,그린,F,판매
138,2024-02-12,직영점,A0070,부산만덕점(직),1,정상,일반판매,BJL4MF006,양모사각목도리,PK,핑크,F,판매
139,2024-02-13,직영점,A0070,부산만덕점(직),1,정상,일반판매,AKJ3KT006,C-포켓단가라니트,BK,블랙,F,판매
140,2024-02-13,직영점,A0070,부산만덕점(직),2,정상,20% 할인(직원할인),ALB3CA001,S-GFAVHN-피스디가디건,RE,레드,F,판매
141,2024-02-13,직영점,A0070,부산만덕점(직),3,기획,일반판매,AKL7KT003,P-로제폴라니트,IV,아이보리,F,판매
142,2024-02-13,직영점,A0070,부산만덕점(직),4,정상,일반판매,BJK4SC003,메이플중목삭스(2pcs),XX,XX,F,판매
143,2024-02-14,직영점,A0070,부산만덕점(직),1,정상,20% 할인(직원할인),BKI4SC001,코튼중목삭스(2pcs),XX,XX,F,판매
144,2024-02-15,직영점,A0070,부산만덕점(직),1,정상,일반판매,AKJ7JP007,J-퍼즐덕다운점퍼,BE,베이지,F,판매
145,2024-02-15,직영점,A0070,부산만덕점(직),1,정상,일반판매,BKL4SC004,타일도톰삭스(2pcs),XX,XX,F,판매
146,2024-02-15,직영점,A0070,부산만덕점(직),1,정상,일반판매,AKJ7JP002,J-배색덕다운점퍼,MT,민트,F,판매
147,2024-02-15,직영점,A0070,부산만덕점(직),2,정상,일반판매,AEK1PT601,플리츠 캐주얼 바지,BK,블랙,M,판매
148,2024-02-15,직영점,A0070,부산만덕점(직),3,정상,일반판매,AEI2PT301,아게다 니트 팬츠,BK,블랙,XL,판매
149,2024-02-15,직영점,A0070,부산만덕점(직),3,정상,일반판매,AEI2OP301,아게다 터틀넥 원피스,BK,블랙,M,판매
150,2024-02-15,직영점,A0070,부산만덕점(직),4,정상,일반판매,AKB3PT007,S-이고밑단주름PT,BK,블랙,F,판매
151,2024-02-15,직영점,A0070,부산만덕점(직),5,정상,일반판매,BKD4SB010,포인트가죽슈즈(5837),WH,화이트,45,판매
152,2024-02-15,직영점,A0070,부산만덕점(직),6,정상,일반판매,ALB3CT003,C-SSPSAL-안나트렌치,BE,베이지,F,판매
153,2024-02-15,직영점,A0070,부산만덕점(직),6,정상,일반판매,AKJ7JP007,J-퍼즐덕다운점퍼,BE,베이지,F,판매
154,2024-02-15,직영점,A0070,부산만덕점(직),7,정상,일반판매,ALB3TS012,C-SCCRHN-슬럽라운드긴팔티,SO,소라,F,판매
155,2024-02-15,직영점,A0070,부산만덕점(직),7,정상,일반판매,ALB3TS012,C-SCCRHN-슬럽라운드긴팔티,PK,핑크,F,판매
156,2024-02-15,직영점,A0070,부산만덕점(직),7,정상,일반판매,BIL4MF011,울특대니트머플러,GR,회색,F,판매
157,2024-02-15,직영점,A0070,부산만덕점(직),8,정상,일반판매,AKJ7DP002,J-로튼데님배기,DL,진청,M,판매
158,2024-02-16,직영점,A0070,부산만덕점(직),1,정상,일반판매,AKI7JK003,J-미드레더자켓,BK,블랙,F,판매
159,2024-02-19,직영점,A0070,부산만덕점(직),1,정상,일반판매,BKL7BG001,J-로에숄더백,BK,블랙,F,판매
160,2024-02-20,직영점,A0070,부산만덕점(직),1,정상,일반판매,AKJ7JP007,J-퍼즐덕다운점퍼,KH,카키,F,판매
161,2024-02-20,직영점,A0070,부산만덕점(직),2,정상,일반판매,AJB3WS002,C-플라이셔츠,BK,블랙,F,판매
162,2024-02-20,직영점,A0070,부산만덕점(직),2,정상,일반판매,AKJ7DP002,J-로튼데님배기,DL,진청,M,판매
163,2024-02-22,직영점,A0070,부산만덕점(직),1,정상,일반판매,ALB3JP002,S-OSPMAN-포켓배색이중점퍼,GE,그린,L,판매
164,2024-02-22,직영점,A0070,부산만덕점(직),2,정상,일반판매,ALB3JP002,S-OSPMAN-포켓배색이중점퍼,GE,그린,L,판매
165,2024-02-22,직영점,A0070,부산만덕점(직),2,정상,일반판매,AKL7JP002,J-니팅배색덕다운,PK,핑크,F,판매
166,2024-02-22,직영점,A0070,부산만덕점(직),3,정상,일반판매,AJK3KT004,C-카렌폴라니트,CM,카멜,F,판매
167,2024-02-22,직영점,A0070,부산만덕점(직),3,정상,일반판매,AKI7KT009,J-에스골지니트,GR,회색,F,판매
168,2024-02-22,직영점,A0070,부산만덕점(직),4,정상,일반판매,AKJ7JP004,J-웨이브덕다운점퍼,BE,베이지,F,판매
169,2024-02-22,직영점,A0070,부산만덕점(직),4,정상,일반판매,AKL7JP002,J-니팅배색덕다운,PK,핑크,F,판매
170,2024-02-22,직영점,A0070,부산만덕점(직),4,정상,일반판매,AKC7OP001,앵글플리츠원피스,BK,블랙,F,판매
171,2024-02-22,직영점,A0070,부산만덕점(직),5,기획,일반판매,AKI7KT012,J-컬러반폴니트,GE,그린,F,판매
