의류 ID,속성 유형,속성 값
277,category,티셔츠
277,texture,니트
277,print,무지
278,스타일,페미니
278,category,티셔츠
278,texture,저지
278,print,무지
279,스타일,컨템포러리
279,category,티셔츠
279,texture,저지
279,print,그래픽
280,스타일,페미니
280,category,니트웨어
280,texture,니트
280,print,무지
281,스타일,캐주얼
281,category,팬츠
281,texture,니트
281,print,그래픽
282,스타일,캐주얼
282,category,후드티
282,texture,우븐
283,스타일,컨템포러리
283,category,블라우스
283,texture,우븐
283,print,스트라이프
284,스타일,컨템포러리
284,category,티셔츠
284,texture,저지
285,스타일,컨템포러리
285,category,스커트
285,texture,저지
286,스타일,에스닉
286,category,티셔츠
286,texture,저지
287,스타일,컨템포러리
287,category,티셔츠
287,texture,우븐
287,print,그래픽
288,스타일,캐주얼
288,category,티셔츠
288,texture,우븐
288,print,무지
289,스타일,컨템포러리
289,category,티셔츠
289,texture,저지
289,print,스트라이프
290,스타일,컨템포러리
290,category,티셔츠
290,detail,단추
290,texture,저지
290,print,무지
291,스타일,캐주얼
291,category,재킷
291,texture,니트
291,print,무지
292,스타일,내추럴
292,category,티셔츠
292,texture,우븐
292,print,도트
293,스타일,캐주얼
293,category,팬츠
293,texture,니트
293,print,그래픽
294,스타일,캐주얼
294,category,티셔츠
294,detail,단추
294,texture,저지
294,print,무지
295,스타일,캐주얼
295,category,청바지
295,detail,단추
295,texture,저지
295,print,무지
296,스타일,캐주얼
296,category,티셔츠
296,detail,단추
296,texture,저지
296,print,그래픽
297,스타일,캐주얼
297,category,팬츠
297,texture,저지
298,스타일,캐주얼
298,category,재킷
298,texture,우븐
299,스타일,캐주얼
299,category,티셔츠
299,texture,저지
299,print,무지
300,스타일,컨템포러리
300,category,티셔츠
300,texture,저지
300,print,무지
301,스타일,캐주얼
301,category,티셔츠
301,texture,저지
302,스타일,캐주얼
302,category,셔츠
302,texture,니트
303,스타일,캐주얼
303,category,티셔츠
303,texture,우븐
303,print,그래픽
304,스타일,캐주얼
304,category,재킷
304,texture,니트
304,print,무지
305,스타일,내추럴
305,category,티셔츠
305,texture,저지
305,print,무지
306,스타일,페미니
306,category,티셔츠
306,texture,저지
307,스타일,캐주얼
307,category,티셔츠
307,detail,슬릿
307,texture,우븐
307,print,그래픽
308,스타일,캐주얼
308,category,청바지
308,texture,저지
308,print,무지
309,스타일,캐주얼
309,category,청바지
309,detail,단추
309,texture,저지
309,print,그래픽
310,스타일,내추럴
310,category,티셔츠
310,detail,단추
310,texture,우븐
310,print,무지
311,스타일,캐주얼
311,category,티셔츠
311,texture,니트
311,print,무지
312,스타일,캐주얼
312,category,팬츠
312,texture,니트
312,print,무지
313,스타일,캐주얼
313,category,팬츠
313,texture,우븐
313,print,무지
314,스타일,페미니
314,category,팬츠
314,texture,저지
314,print,무지
315,스타일,컨템포러리
315,category,티셔츠
315,texture,니트
315,print,그래픽
316,스타일,컨템포러리
316,category,티셔츠
316,texture,우븐
316,print,그래픽
317,스타일,캐주얼
317,category,스커트
317,texture,니트
318,스타일,캐주얼
318,category,니트웨어
318,texture,니트
319,스타일,컨템포러리
319,category,티셔츠
319,texture,저지
319,print,무지
320,스타일,컨템포러리
320,category,티셔츠
320,texture,저지
321,스타일,캐주얼
321,category,티셔츠
321,texture,저지
321,print,스트라이프
322,스타일,컨템포러리
322,category,티셔츠
322,texture,저지
322,print,무지
323,스타일,페미니
323,category,팬츠
323,texture,저지
323,print,무지
324,스타일,캐주얼
324,category,티셔츠
324,texture,저지
324,print,무지
325,스타일,캐주얼
325,category,티셔츠
325,texture,저지
325,print,무지
326,스타일,페미니
326,category,티셔츠
326,detail,자수
326,texture,저지
326,print,무지
327,스타일,컨템포러리
327,category,니트웨어
327,detail,스트링
327,texture,니트
328,스타일,내추럴
328,category,팬츠
328,texture,저지
329,스타일,캐주얼
329,category,티셔츠
329,detail,드롭숄더
329,texture,저지
329,print,그래픽
330,스타일,캐주얼
330,category,셔츠
330,texture,니트
330,print,무지
331,스타일,캐주얼
331,category,티셔츠
331,texture,우븐
331,print,무지
332,스타일,캐주얼
332,category,티셔츠
332,detail,단추
332,texture,저지
332,print,무지
333,스타일,캐주얼
333,category,티셔츠
333,texture,저지
333,print,그래픽
334,스타일,캐주얼
334,category,블라우스
334,texture,우븐
334,print,그래픽
335,스타일,컨템포러리
335,category,티셔츠
335,detail,슬릿
335,texture,저지
335,print,무지
336,스타일,캐주얼
336,category,티셔츠
336,detail,단추
336,texture,우븐
336,print,무지
337,스타일,컨템포러리
337,category,팬츠
337,texture,저지
337,print,무지
338,스타일,캐주얼
338,category,티셔츠
338,texture,저지
338,print,그래픽
339,스타일,캐주얼
339,category,티셔츠
339,texture,저지
340,스타일,캐주얼
340,category,티셔츠
340,texture,니트
340,print,무지
341,스타일,캐주얼
341,category,청바지
341,texture,저지
341,print,무지
342,스타일,젠더리스
342,category,티셔츠
342,texture,니트
342,print,레터링
343,스타일,캐주얼
343,category,팬츠
343,texture,니트
343,print,스트라이프
344,스타일,캐주얼
344,category,니트웨어
344,detail,단추
344,texture,니트
344,print,무지
345,스타일,캐주얼
345,category,티셔츠
345,detail,자수
345,texture,우븐
346,스타일,캐주얼
346,category,티셔츠
346,texture,저지
347,스타일,캐주얼
347,category,티셔츠
347,detail,단추
347,texture,저지
347,print,무지
348,스타일,캐주얼
348,category,티셔츠
348,texture,저지
349,스타일,캐주얼
349,category,티셔츠
349,texture,저지
349,print,무지
350,스타일,캐주얼
350,category,티셔츠
350,texture,우븐
