?,판매일자,매장구분,매장코드,매장명,영수증번호,기획구분,판매유형,상품코드,상품명,칼라,칼라명,사이즈,판매구분,대분류,년,월,주차,복종,넘버
133,2024-02-07,직영점,A0070,부산만덕점(직),5,정상,일반판매,AEJ1KN201,슬로베니아 니트케이프,BK,블랙,M,판매,의류,2017,10월,1,니트나시,201
134,2024-02-07,직영점,A0070,부산만덕점(직),5,정상,일반판매,AEJ1KN201,슬로베니아 니트케이프,GR,회색,M,판매,의류,2017,10월,1,니트나시,201
135,2024-02-08,직영점,A0070,부산만덕점(직),1,정상,일반판매,BKB7BG031,글로리백팩,BK,블랙,F,판매,잡화,2023,2월,7,가방,31
136,2024-02-08,직영점,A0070,부산만덕점(직),2,정상,일반판매,AKL3KT004,S-분홍꽃KT,BK,블랙,F,판매,의류,2023,12월,3,니트,4
137,2024-02-08,직영점,A0070,부산만덕점(직),3,정상,일반판매,AKK7JP017,J-팝핑덕다운점퍼,GE,그린,F,판매,의류,2023,11월,7,점퍼,17
138,2024-02-12,직영점,A0070,부산만덕점(직),1,정상,일반판매,BJL4MF006,양모사각목도리,PK,핑크,F,판매,잡화,2022,12월,4,머플러,6
139,2024-02-13,직영점,A0070,부산만덕점(직),1,정상,일반판매,AKJ3KT006,C-포켓단가라니트,BK,블랙,F,판매,의류,2023,10월,3,니트,6
140,2024-02-13,직영점,A0070,부산만덕점(직),2,정상,20% 할인(직원할인),ALB3CA001,S-GFAVHN-피스디가디건,RE,레드,F,판매,의류,2024,2월,3,가디건,1
141,2024-02-13,직영점,A0070,부산만덕점(직),3,기획,일반판매,AKL7KT003,P-로제폴라니트,IV,아이보리,F,판매,의류,2023,12월,7,니트,3
142,2024-02-13,직영점,A0070,부산만덕점(직),4,정상,일반판매,BJK4SC003,메이플중목삭스(2pcs),XX,XX,F,판매,잡화,2022,11월,4,양말,3
143,2024-02-14,직영점,A0070,부산만덕점(직),1,정상,20% 할인(직원할인),BKI4SC001,코튼중목삭스(2pcs),XX,XX,F,판매,잡화,2023,9월,4,양말,1
144,2024-02-15,직영점,A0070,부산만덕점(직),1,정상,일반판매,AKJ7JP007,J-퍼즐덕다운점퍼,BE,베이지,F,판매,의류,2023,10월,7,점퍼,7
145,2024-02-15,직영점,A0070,부산만덕점(직),1,정상,일반판매,BKL4SC004,타일도톰삭스(2pcs),XX,XX,F,판매,잡화,2023,12월,4,양말,4
146,2024-02-15,직영점,A0070,부산만덕점(직),1,정상,일반판매,AKJ7JP002,J-배색덕다운점퍼,MT,민트,F,판매,의류,2023,10월,7,점퍼,2
147,2024-02-15,직영점,A0070,부산만덕점(직),2,정상,일반판매,AEK1PT601,플리츠 캐주얼 바지,BK,블랙,M,판매,의류,2017,11월,1,바지,601
148,2024-02-15,직영점,A0070,부산만덕점(직),3,정상,일반판매,AEI2PT301,아게다 니트 팬츠,BK,블랙,XL,판매,의류,2017,9월,2,바지,301
149,2024-02-15,직영점,A0070,부산만덕점(직),3,정상,일반판매,AEI2OP301,아게다 터틀넥 원피스,BK,블랙,M,판매,의류,2017,9월,2,원피스,301
150,2024-02-15,직영점,A0070,부산만덕점(직),4,정상,일반판매,AKB3PT007,S-이고밑단주름PT,BK,블랙,F,판매,의류,2023,2월,3,바지,7
151,2024-02-15,직영점,A0070,부산만덕점(직),5,정상,일반판매,BKD4SB010,포인트가죽슈즈(5837),WH,화이트,45,판매,잡화,2023,4월,4,신발,10
152,2024-02-15,직영점,A0070,부산만덕점(직),6,정상,일반판매,ALB3CT003,C-SSPSAL-안나트렌치,BE,베이지,F,판매,의류,2024,2월,3,코트,3
153,2024-02-15,직영점,A0070,부산만덕점(직),6,정상,일반판매,AKJ7JP007,J-퍼즐덕다운점퍼,BE,베이지,F,판매,의류,2023,10월,7,점퍼,7
154,2024-02-15,직영점,A0070,부산만덕점(직),7,정상,일반판매,ALB3TS012,C-SCCRHN-슬럽라운드긴팔티,SO,소라,F,판매,의류,2024,2월,3,티셔츠,12
155,2024-02-15,직영점,A0070,부산만덕점(직),7,정상,일반판매,ALB3TS012,C-SCCRHN-슬럽라운드긴팔티,PK,핑크,F,판매,의류,2024,2월,3,티셔츠,12
156,2024-02-15,직영점,A0070,부산만덕점(직),7,정상,일반판매,BIL4MF011,울특대니트머플러,GR,회색,F,판매,잡화,2021,12월,4,머플러,11
